1,64voicePiano,PR-A
2,Bright Piano,PR-A
3,Classique,PR-A
4,Nice Piano,PR-A
5,Piano Thang,PR-A
6,Power Grand,PR-A
7,House Piano,PR-A
8,E.Grand,PR-A
9,MIDIed Grand,PR-A
10,Piano Blend,PR-A
11,West Coast,PR-A
12,PianoStrings,PR-A
13,Bs/Pno+Brs,PR-A
14,Waterhodes,PR-A
15,S.A.E.P.,PR-A
16,SA Rhodes 1,PR-A
17,SA Rhodes 2,PR-A
18,Stiky Rhodes,PR-A
19,Dig Rhodes,PR-A
20,Nylon EPiano,PR-A
21,Nylon Rhodes,PR-A
22,Rhodes Mix,PR-A
23,PsychoRhodes,PR-A
24,Tremo Rhodes,PR-A
25,MK-80 Rhodes,PR-A
26,MK-80 Phaser,PR-A
27,Delicate EP,PR-A
28,Octa Rhodes1,PR-A
29,Octa Rhodes2,PR-A
30,JV Rhodes+,PR-A
31,EP+Mod Pad,PR-A
32,Mr.Mellow,PR-A
33,Comp Clav,PR-A
34,Klavinet,PR-A
35,Winger Clav,PR-A
36,Phaze Clav 1,PR-A
37,Phaze Clav 2,PR-A
38,Phuzz Clav,PR-A
39,Chorus Clav,PR-A
40,Claviduck,PR-A
41,Velo-Rez Clv,PR-A
42,Clavicembalo,PR-A
43,Analog Clav1,PR-A
44,Analog Clav2,PR-A
45,Metal Clav,PR-A
46,Full Stops,PR-A
47,Ballad B,PR-A
48,Mellow Bars,PR-A
49,AugerMentive,PR-A
50,Perky B,PR-A
51,The Big Spin,PR-A
52,Gospel Spin,PR-A
53,Roller Spin,PR-A
54,Rocker Spin,PR-A
55,Tone Wh.Solo,PR-A
56,Purple Spin,PR-A
57,60’s LeadORG,PR-A
58,Assalt Organ,PR-A
59,D-50 Organ,PR-A
60,Cathedral,PR-A
61,Church Pipes,PR-A
62,Poly Key,PR-A
63,Poly Saws,PR-A
64,Poly Pulse,PR-A
65,Dual Profs,PR-A
66,Saw Mass,PR-A
67,Poly Split,PR-A
68,Poly Brass,PR-A
69,Stackoid,PR-A
70,Poly Rock,PR-A
71,D-50 Stack,PR-A
72,Fantasia JV,PR-A
73,Jimmee Dee,PR-A
74,Heavenals,PR-A
75,Mallet Pad,PR-A
76,Huff N Stuff,PR-A
77,Puff 1080,PR-A
78,BellVox 1080,PR-A
79,Fantasy Vox,PR-A
80,Square Keys,PR-A
81,Childlike,PR-A
82,Music Box,PR-A
83,Toy Box,PR-A
84,Wave Bells,PR-A
85,Tria Bells,PR-A
86,Beauty Bells,PR-A
87,Music Bells,PR-A
88,Pretty Bells,PR-A
89,Pulse Key,PR-A
90,Wide Tubular,PR-A
91,AmbienceVibe,PR-A
92,Warm Vibes,PR-A
93,Dyna Marimba,PR-A
94,Bass Marimba,PR-A
95,Nomad Perc,PR-A
96,Ethno Metals,PR-A
97,Islands Mlt,PR-A
98,Steelin Keys,PR-A
99,Steel Drums,PR-A
100,Voicey Pizz,PR-A
101,Sitar,PR-A
102,Drone Split,PR-A
103,Ethnopluck,PR-A
104,Jamisen,PR-A
105,Dulcimer,PR-A
106,East Melody,PR-A
107,MandolinTrem,PR-A
108,Nylon Gtr,PR-A
109,Gtr Strings,PR-A
110,Steel Away,PR-A
111,Heavenly Gtr,PR-A
112,12str Gtr 1,PR-A
113,12str Gtr 2,PR-A
114,Jz Gtr Hall,PR-A
115,LetterFrmPat,PR-A
116,Jazz Scat,PR-A
117,Lounge Gig,PR-A
118,JC Strat,PR-A
119,Twin Strats,PR-A
120,JV Strat,PR-A
121,Syn Strat,PR-A
122,Rotary Gtr,PR-A
123,Muted Gtr,PR-A
124,SwitchOnMute,PR-A
125,Power Trip,PR-A
126,Crunch Split,PR-A
127,Rezodrive,PR-A
128,RockYurSocks,PR-A
