# System controls
panel_mode	Performance, Patch, GM
perf_num	User 1-32, Card 1-32, PresetA 1-32, PresetB 1-32
patch_group	User/Card/Preset, DataCard, Expansion
patch_group_id	0-127
patch_num	1-255
master_tune	A=427.4 - 452.6 (0-126), A440=64/0x40
scale_tune_switch	Off, On
EFX_switch	Off, On 
chorus_switch	Off, On 
reverb_switch	Off, On 
patch_remain	Off, On 
clock_source	Internal, Midi
tap_control_source	Off, Hold-1, Sostenuto, Soft, Hold-2
hold_control_source	Off, Hold-1, Sostenuto, Soft, Hold-2
peak_control_source	Off, Hold-1, Sostenuto, Soft, Hold-2
volume_control_source	Volume, Volume/Exp
aftertouch_control_source	ChannelAfter, PolyAfter, Both
sys__control_source_1	CC 0-95, Bender, Aftertouch
sys__control_source_2	CC 0-95, Bender, Aftertouch
receive_program_change	Off, On 
receive_bank_select	Off, On 
receive_control_change	Off, On 
receive_modulation	Off, On 
receive_volume		Off, On 
receive_hold_1		Off, On 
receive_bender		Off, On 
receive_aftertouch	Off, On 
control_channel		1-16, Off (0-16)
patch_receive_channel	1-16 (0-15)
rhythm_edit_source	Panel, Panel/Midi
preview_mode		Single, Chord
preview_key_set_1	C1 - G9 (0-127)
preview_velocity_set_1	Off, 1-127
preview_key_set_2	C1 - G9 (0-127)
preview_velocity_set_2	Off, 1-127
preview_key_set_3	C1 - G9 (0-127)
preview_velocity_set_3	Off, 1-127
preview_key_set_4	C1 - G9 (0-127)
preview_velocity_set_4	Off, 1-127

# Scale tuning
C	-64 to +63 (0-127)
Cis	-64 to +63 (0-127)
D	-64 to +63 (0-127)
Dis	-64 to +63 (0-127)
E	-64 to +63 (0-127)
F	-64 to +63 (0-127)
Fis	-64 to +63 (0-127)
G	-64 to +63 (0-127)
Gis	-64 to +63 (0-127)
A	-64 to +63 (0-127)
Ais	-64 to +63 (0-127)
B	-64 to +63 (0-127)

#Performance controls
Name		12 characters
EFX_source	Perform, 1-9, 11-16 (0-16)
EFX_type	0-39
EFX_parameter[1]	32-127
EFX_parameter[2-12]	0-127
EFX_output	Mix, Output-1, Output-2
EFX_output_level	0-127
EFX_chorus_send_level	0-127
EFX_reverb_send_level	0-127
EFX_control_src_1	Off, Sys-Ctrl-1, Sys-Ctrl-2, Modulation, Breath, Foot, Volume, Pan, Expression, Bender, Aftertouch
EFX_control_depth_1	-63 to +63 (0-126)
EFX_control_src_2	Off, Sys-Ctrl-1, Sys-Ctrl-2, Modulation, Breath, Foot, Volume, Pan, Expression, Bender, Aftertouch
EFX_control_depth_2	-63 to +63 (0-126)
chorus_level	0-127
chorus_rate	0-127
chorus_depth	0-127
chorus_pre_delay	0-127
chorus_feedback	0-127
chorus_output	Mix, Reverb, Both
reverb_type	Room1, Room2, Stage1, Stage2, Hall1, Hall2, Delay, Pan/Delay
reverb_level	0-127
reverb_time	0-127
reverb_HF_damp	200, 250, 315, 400, 500, 630, 800, 1000, 1250, 1600, 2000, 2500, 3150, 4000, 5000, 6300, 8000, Bypass
reverb_feedback	0-127
default_tempo	20 - 250
key_range_switch	Off, On
voice_reserve[1-16]	0-64

#Performance Part Controls
MIDI_receive	Off, On
MIDI_channel	1 - 16
patch_group	User/Card/Preset, DataCard, Expansion
patch_group_id	0-127
patch_num	1 - 253 (0-254)
level		0-127
pan		L64 to R63 (0-127)
coarse_tune	-48 to +48 (0-96)
fine_tune	-50 to +50 (0-100)
output		Mix, EFX, Output1, Output2, Patch
output_level	0-127
chorus_send_level	0-127
reverb_send_level	0-127
receive_program_change	Off, On
receive_volume	Off, On
receive_hold_1	Off, On
key_range_lower	C1 - G9 (0-127)
key_range_upper	C1 - G9 (0-127)

#Patch Controls
Name		12 characters
EFX_type	0-39
EFX_parameter[1-12]	0-127
EFX_output	Mix, Output-1, Output-2
EFX_output_level	0-127
EFX_chorus_send_level	0-127
EFX_reverb_send_level	0-127
EFX_control_src_1	Off, Sys-Ctrl-1, Sys-Ctrl-2, Modulation, Breath, Foot, Volume, Pan, Expression, Bender, Aftertouch
EFX_control_depth_1	-63 to +63 (0-126)
EFX_control_src_2	Off, Sys-Ctrl-1, Sys-Ctrl-2, Modulation, Breath, Foot, Volume, Pan, Expression, Bender, Aftertouch
EFX_control_depth_2	-63 to +63 (0-126)
chorus_level	0-127
chorus_rate	0-127
chorus_depth	0-127
chorus_pre_delay	0-127
chorus_feedback	0-127
chorus_output	Mix, Reverb, Both
reverb_type	Room1, Room2, Stage1, Stage2, Hall1, Hall2, Delay, Pan/Delay
reverb_level	0-127
reverb_time	0-127
reverb_HF_damp	200, 250, 315, 400, 500, 630, 800, 1000, 1250, 1600, 2000, 2500, 3150, 4000, 5000, 6300, 8000, Bypass
reverb_feedback	0-127
default_tempo	20 - 250
level		0-127
pan		L64 to R63 (0-127)
analog_feel_depth	0-127
bender_up	0-12
bender_down	0 to -48 (0-48)
key_mode	Poly, Solo
solo_legato	Off, On
portamento_switch	Off, On
portamento_mode		Normal, Legato
portamento_type		Rate, Time
portamento_start	Pitch, Note
portamento_time		0-127
control_source_2	Off, Sys-Ctrl-1, Sys-Ctrl-2, Modulation, Breath, Foot, Volume, Pan, Expression, Bender, Aftertouch, LFO1, LFO2, Velocity, KeyFollow, PlayMate
control_source_3	Off, Sys-Ctrl-1, Sys-Ctrl-2, Modulation, Breath, Foot, Volume, Pan, Expression, Bender, Aftertouch, LFO1, LFO2, Velocity, KeyFollow, PlayMate
EFX_control_hold/peak	Off, Hold, Peak
control_1_hold/peak	Off, Hold, Peak
control_2_hold/peak	Off, Hold, Peak
control_3_hold/peak	Off, Hold, Peak
velocity_range_switch	Off, On
octave_shift		-3 to +3 (0-6)
stretch_tune_depth	Off, 1 - 3
voice_priority		Last, Loudest
structure_type_1-2	1 to 10 (0-9)
booster_level_1-2	0, +6, +12, +18
structure_type_3-4	1 to 10 (0-9)
booster_level_3-4	0, +6, +12, +18

#Patch tone controls
tone_switch	Off, On
wave_group	Internal, DataCard, Expansion
wave_group_id	0-127
wave_num	1-255 (0-254)
wave_gain	-6, 0, +6, +12
FXM_switch	Off, On	
FXM_color	1 - 4 (0-3)
FXM_depth	1 - 16 (0-15)
tone_delay_mode		Normal, Hold, KeyInterval, ClockSync, TapSync, KeyOffNormal, KeyOffDecay
tone_delay_time		0-127
veloc_xfade_depth	0-127
veloc_range_lower	0-127
veloc_range_upper	0-127
key_range_lower	C1 - G9 (0-127)
key_range_upper	C1 - G9 (0-127)
redamper_control	Off, On
volume_control_switch	Off, On
hold_1_control		Off, On
bender_control		Off, On
pan_control	Off, Continuous, KeyOn
cont_1_dest_1	Off, PCH, Cut, Res, Lev, Pan, Mix, Chorus, Reverb, PL1, PL2, FL1, FL2, AL1, AL2, pL1, pL2, L1R, L2R
cont_1_depth_1	-63 to +63 (0-126)
cont_1_dest_2	Off, PCH, Cut, Res, Lev, Pan, Mix, Chorus, Reverb, PL1, PL2, FL1, FL2, AL1, AL2, pL1, pL2, L1R, L2R
cont_1_depth_2	-63 to +63 (0-126)
cont_1_dest_3	Off, PCH, Cut, Res, Lev, Pan, Mix, Chorus, Reverb, PL1, PL2, FL1, FL2, AL1, AL2, pL1, pL2, L1R, L2R
