01,*Dy.Rhodes 1,Piano
02,*VP330/TrnFl,Vintage
03,*JpnPrcMinMN,World
04,*Velo Power,Session
05,*Grunge 1 85,Bass&Drums
06,*Brass Fall,Super Sound
07,*SlyFamily B,'60s&'70s
08,*Juno Rave 1,New
09,*BigStrings1,New
10,*Limonaire,Vintage
11,VeloBagpipes,World
12,Razor VCOs,Session
13,*Pats GR-300,Vintage
14,*Stepflanger,Session
15,On the move,Session
16,*Harp m7Scrl,Super Sound
17,*Sweep Phase,New
18,Kong,Pop
19,*Raw PWM,Session
20,*CombingSlow,Session
21,Pro-5 Brass,Vintage
22,*B3 pwrOnOff,'60s&'70s
23,*Dy.Rhodes 2,Piano
24,*Phse Rhodes,New
25,*Juno Harpsi,Session
26,*AnalogChime,Vintage
27, So VeryBS&t,'60s&'70s
28,*RR B3,'60s&'70s
29,*Organ Pad,New
30,PhazedOrgan,Session
31,2600 ClkOrg,Vintage
32,*Systm700Bs,Vintage
33,HousineBass,Vintage
34,*Pumpin' Bs,Session
35,*Classic Bs,Vintage
36,*Spike Bs,Vintage
37,*Reso Bs,Vintage
38,*ResoSaw Bs,New
39,*BigString2,Vintage
40,*FullOrch.1,Orchestral
41,*FullOrch.2,Orchestral
42,*Orc Sect,New
43,*FullOrch.3,Orchestral
44,*GiantStrngs,Session
45,*SYNBRAKUN,Pop
46,*Analog Brs,Pop
47,ClassicLead,Pop
48,*PromarsLead,Vintage
49,*WagnerianLd,Vintage
50,*SoloMonoFXM,Pop
51,*Telstar,Vintage
52,Micro MG,Vintage
53,*Cubic Lead,Pop
54,*700 Lead 1,New
55,*700 Lead 2,New
56,*70sSinusolo,Vintage
57,*800 Lead,New
58,*Juno Rave 2,New
59,Slobbery Bs,Session
60,Euro RaveBs,Session
61,*Tech NoBase,Session
62,Manic Bs,Session
63,*Tekno Juno,Session
64,*Slop-o-rama,Session
65,*Isn'tPretty,Session
66,*Buzzzzzzzzz,Session
67,*Trance VoX,Session
68,Alchemy,Session
69,Converge,New
70,*Phazeslopad,Session
71,*DCO Sweeper,Session
72,*Big Vectors,Session
73,*StackStngs,New
74,*Majesty Pad,Vintage
75,*OB Soft Pad,Vintage
76,*OB ThickPad,Vintage
77,*Pad It!,Pop
78,*Build-UpSyn,Session
79,*JP+OBStrngs,Vintage
80,*LamenTron,'60s&'70s
81,SwimmingBee,'60s&'70s
82,*Prologue,Vintage
83,*JX3PPolaris,Vintage
84,Sweep Stack,Session
85,*Poly Swell,Session
86,*Meow 5ths,Session
87,*Jet Stack,Session
88,*Nothing Air,Super Sound
89,Grove 1,Super Sound
90,*SpikedCheez,Session
91,*GlassyCheez,Session
92,Arpeggiatoi,Session
93,*Poly Synth,Pop
94,*Echo Juno,Session
95,*Big MessPad,Session
96,*DanceStack,Session
97,*SH-1000MIDI,Vintage
98,*Bagpipes,New
99,*Harp m7,Super Sound
100,*Grunge 2 85,Bass&Drums
