2.2 Bellwave,Internal B,20
2.2 Vibwave,Internal B,21
6-Str Gtr A,Internal A,55
6-Str Gtr B,Internal A,56
6-Str Gtr C,Internal A,57
606 HiHat Cl,Internal B,93
606 HiHat Op,Internal B,94
808 Claps,Internal B,95
808 Kick,Internal B,84
808 SN,Internal B,72
Ac Piano1 A,Internal A,1
Ac Piano1 B,Internal A,2
Ac Piano1 C,Internal A,3
Ac Piano2 fA,Internal A,7
Ac Piano2 fB,Internal A,8
Ac Piano2 fC,Internal A,9
Ac Piano2 pA,Internal A,4
Ac Piano2 pB,Internal A,5
Ac Piano2 pC,Internal A,6
Agogo,Internal B,14
Alto Sax 1A,Internal A,171
Alto Sax 1B,Internal A,172
Alto Sax 1C,Internal A,173
Anklungs,Internal B,58
Applause,Internal B,124
Back Hit,Internal B,62
Ballad SN,Internal B,70
Banjo A,Internal A,108
Banjo B,Internal A,109
Banjo C,Internal A,110
Bari.Sax f A,Internal A,177
Bari.Sax f B,Internal A,178
Bari.Sax f C,Internal A,179
Blow Pipe,Internal A,159
Bongo Hi,Internal B,106
Bongo Lo,Internal B,107
Bottle Hit,Internal B,5
Bottle,Internal A,160
BreathNoise,Internal B,54
Brush Roll,Internal B,75
Brush Slap,Internal B,73
Brush Swish,Internal B,74
Cabasa Cut,Internal B,116
Cabasa Down,Internal B,115
Cabasa Up,Internal B,114
Celesta,Internal A,36
Cello A,Internal A,205
Cello B,Internal A,206
Cello C,Internal A,207
Cga Mute Hi,Internal B,110
Cga Mute Lo,Internal B,111
Cga Open Hi,Internal B,108
Cga Open Lo,Internal B,109
Cga Slap,Internal B,112
Chanter,Internal A,183
China Cym,Internal B,102 
Cl HiHat 1,Internal B,89
Cl HiHat 2,Internal B,90
Clarinet A,Internal A,162
Clarinet B,Internal A,163
Clarinet C,Internal A,164
Clav 1A,Internal A,38
Clav 1B,Internal A,39
Clav 1C,Internal A,40
Claves,Internal B,105
Clean Gtr A,Internal A,81
Clean Gtr B,Internal A,82
Clean Gtr C,Internal A,83
Comp Gtr A+,Internal A,64
Comp Gtr A,Internal A,61
Comp Gtr B,Internal A,62
Comp Gtr C,Internal A,63
Cowbell 1,Internal B,103
Crash 1,Internal B,101 
Cuica,Internal B,121
D-50 Brass A,Internal A,229
D-50 Brass B,Internal A,230
D-50 Brass C,Internal A,231
D-50 BrassA+,Internal A,232
D-50 EP A,Internal A,33
D-50 EP B,Internal A,34
D-50 EP C,Internal A,35
D-50 HeavenA,Internal A,225
D-50 HeavenB,Internal A,226
D-50 HeavenC,Internal A,227
D-50 Saw A,Internal B,36
D-50 Saw B,Internal B,37
D-50 Saw C,Internal B,38
DC,Internal B,193
DIGI Bell 1+,Internal B,16
DIGI Bell 1,Internal B,15
DIGI Chime,Internal B,17
Dist. Organ,Internal A,48
Dry Stick,Internal B,76
Dry Tom Hi,Internal B,87
Dry Tom Lo,Internal B,88
DualSquare A,Internal A,233
DualSquare C,Internal A,234
DualSquareA+,Internal A,235
Dulcimer A,Internal A,114
Dulcimer B,Internal A,115
Dulcimer C,Internal A,116
E.Bass,Internal A,129
E.Piano 1A,Internal A,21
E.Piano 1B,Internal A,22
E.Piano 1C,Internal A,23
E.Piano 2A,Internal A,24
E.Piano 2B,Internal A,25
E.Piano 2C,Internal A,26
E.Piano 3A,Internal A,27
E.Piano 3B,Internal A,28
E.Piano 3C,Internal A,29
EG Harm,Internal A,100
F.Horns A,Internal A,199
F.Horns B,Internal A,200
F.Horns C,Internal A,201
Fanta Bell A+,Internal B,12
Fanta Bell A,Internal B,9
Fanta Bell B,Internal B,10
Fanta Bell C,Internal B,11
Fantasynth A,Internal A,222
Fantasynth B,Internal A,223
Fantasynth C,Internal A,224
Feedbackwave,Internal B,52
Fine Wine,Internal A,228
Finger Snaps,Internal B,97
Fingerd Bs A,Internal A,126
Fingerd Bs B,Internal A,127
Fingerd Bs C,Internal A,128
Flute 1A,Internal A,156
Flute 1B,Internal A,157
Flute 1C,Internal A,158
French 1A,Internal A,197
French 1C,Internal A,198
Fretless A,Internal A,130
Fretless B,Internal A,131
Fretless C,Internal A,132
Glockenspiel,Internal B,6
Gt.FretNoise,Internal A,101 
Gtr Harm A,Internal A,58
Gtr Harm B,Internal A,59
Gtr Harm C,Internal A,60
Hand Claps,Internal B,96
HarmonMute1A,Internal A,193
HarmonMute1B,Internal A,194
HarmonMute1C,Internal A,195
Harmonica A,Internal A,180
Harmonica B,Internal A,181
Harmonica C,Internal A,182
Harp 1A,Internal A,105
Harp 1B,Internal A,106
Harp 1C,Internal A,107
Heavy Gtr A+,Internal A,94
Heavy Gtr A,Internal A,91
Heavy Gtr B+,Internal A,95
Heavy Gtr B,Internal A,92
Heavy Gtr C+,Internal A,96
Heavy Gtr C,Internal A,93
Hybrid Kick1,Internal B,79
Hybrid Kick2,Internal B,80
Ice Rain,Internal B,56
JC Strat A+,Internal A,78
JC Strat A,Internal A,75
JC Strat B+,Internal A,79
JC Strat B,Internal A,76
JC Strat C+,Internal A,80 
JC Strat C,Internal A,77
JP Strings1A,Internal A,213
JP Strings1B,Internal A,214
JP Strings1C,Internal A,215
JP Strings2A,Internal A,216
JP Strings2B,Internal A,217
JP Strings2C,Internal A,218
JP-8 Saw A,Internal B,30
JP-8 Saw B,Internal B,31
JP-8 Saw C,Internal B,32
JP-8 SquareA,Internal B,40
JP-8 SquareB,Internal B,41
JP-8 SquareC,Internal B,42
Jazz Gtr A,Internal A,72
Jazz Gtr B,Internal A,73
Jazz Gtr C,Internal A,74
Jazz Organ 1,Internal A,42
Jazz Organ 2,Internal A,43
Jz.Bs Pop,Internal A,145
Jz.Bs Slap 1,Internal A,142
Jz.Bs Slap 2,Internal A,143
Jz.Bs Slap 3,Internal A,144
Jz.Bs Thumb,Internal A,141
Kalimba,Internal B,1
Koto A,Internal A,120
Koto B,Internal A,121
Koto C,Internal A,122
Lead Wave,Internal B,24
Lite Kick,Internal B,78
Log Drum,Internal B,3
Long Guiro,Internal B,118
Loop 1,Internal B,171
Loop 2,Internal B,172
Loop 3,Internal B,173
Loop 4,Internal B,174
Loop 5,Internal B,175
Loop 6,Internal B,176
Loop7,Internal B,177
Low P5 Saw,Internal B,185
Low Pink NZ,Internal B,192
Low Pulse 1,Internal B,186
Low Pulse 2,Internal B,187
Low Saw inv,Internal B,184
Low Saw,Internal B,183
Low Sine,Internal B,189
Low Square,Internal B,188
Low Triangle,Internal B,190
Low White NZ,Internal B,191
MC 500 Beep1,Internal B,181
MC 500 Beep2,Internal B,182
MC-202 Bs A,Internal A,153
MC-202 Bs B,Internal A,154
MC-202 Bs C,Internal A,155
MK-80 EP A,Internal A,30
MK-80 EP B,Internal A,31
MK-80 EP C,Internal A,32
MKS-20 P3 A,Internal A,12
MKS-20 P3 B,Internal A,13
MKS-20 P3 C,Internal A,14
MMM Vox,Internal B,23
Male Ooh A,Internal A,249
Male Ooh B,Internal A,250
Male Ooh C,Internal A,251
Maracas,Internal B,117
Marimba Wave,Internal B,2
Metal Wind,Internal B,50
Metronome 1,Internal B,179
Metronome 2,Internal B,180
Mini Bs 1A,Internal A,148
Mini Bs 1B,Internal A,149
Mini Bs 1C,Internal A,150
Mini Bs 2+,Internal A,152
Mini Bs 2,Internal A,151
MonoStringsA,Internal A,210
MonoStringsC,Internal A,211
Music Box,Internal A,37
Mute Gtr 1,Internal A,65
Mute Gtr 2A,Internal A,66
Mute Gtr 2B,Internal A,67
Mute Gtr 2C,Internal A,68
Natural SN1,Internal B,67
Natural SN2,Internal B,68
Nylon Gtr A,Internal A,52
Nylon Gtr B,Internal A,53
Nylon Gtr C,Internal A,54
OD Gtr A+,Internal A,90
OD Gtr A,Internal A,87
OD Gtr B,Internal A,88
OD Gtr C,Internal A,89
Oboe mf A,Internal A,165
Oboe mf B,Internal A,166
Oboe mf C,Internal A,167
Old Kick,Internal B,81
Op HiHat,Internal B,91
Open Triangl,Internal B,120
Orch. Hit,Internal B,60
Org Bell,Internal B,13
Org Click,Internal B,47
Org Vox A,Internal A,252
Org Vox B,Internal A,253
Org Vox C,Internal A,254
Organ 1,Internal A,41
Organ 2,Internal A,44
Organ 3,Internal A,45 
Organ 4,Internal A,46
P5 Saw A,Internal B,33
P5 Saw B,Internal B,34
P5 Saw C,Internal B,35
Pedal HiHat,Internal B,92
Philly Hit,Internal B,63
Piano Thump,Internal A,10
Piano Up TH,Internal A,11
Piccolo SN,Internal B,69
Pick Bass A,Internal A,123
Pick Bass B,Internal A,124
Pick Bass C,Internal A,125
Pink Noise,Internal B,49
Pipe Organ,Internal A,51
Pizz,Internal A,212
Pop Strat A,Internal A,69
Pop Strat B,Internal A,70
Pop Strat C,Internal A,71
Pop Voice,Internal A,236
PowerChord A,Internal A,97
PowerChord B,Internal A,98
PowerChord C,Internal A,99
R8 Click,Internal B,178
REV 606 HHCl,Internal B,153
REV 606 HHOp,Internal B,154
REV Back Hit,Internal B,127
REV BalladSN,Internal B,134
REV Brush 1,Internal B,137
REV Brush 2,Internal B,138
REV Brush 3,Internal B,139
REV China,Internal B,158
REV ClHiHat1,Internal B,149
REV ClHiHat2,Internal B,150
REV Clve,Internal B,164
REV Conga,Internal B,165
REV Cowbell,Internal B,162
REV Crash 1,Internal B,157
REV Cuica,Internal B,169
REV Cup,Internal B,156
REV DryStick,Internal B,159
REV DryTom H,Internal B,147
REV DryTom M,Internal B,148
REV FingSnap,Internal B,161
REV Guiro,Internal B,168
REV HybridK1,Internal B,141
REV Maracas,Internal B,acas,Internal B,167
REV Metro,Internal B,170
REV NatrlSN1,Internal B,131
REV NatrlSN2,Internal B,132
REV Old Kick,Internal B,143
REV Op HiHat,Internal B,151
REV Orch.Hit,Internal B,125
REV Pedal HH,Internal B,152
REV PhillHit,Internal B,128
REV PiccloSN,Internal B,133
REV RealCLP,Internal B,160
REV Ride,Internal B,155
REV SN Roll,Internal B,136
REV Side Stk,Internal B,135
REV Steel DR,Internal B,129
REV Tamb,Internal B,166
REV TeknoHit,Internal B,126
REV Timpani,Internal B,144
REV Tin Wave,Internal B,130
REV VerbTomH,Internal B,145
REV VerbTomL,Internal B,146
REV WoodBlck,Internal B,163
Rattles,Internal B,55
Ride 1,Internal B,98
Ride 2,Internal B,99
Ride Bell 1,Internal B,100
Rock Organ,Internal A,47
Rot.Org Fst,Internal A,50
Rot.Org Slw,Internal A,49
Round Kick,Internal B,83
SA Rhodes 1A,Internal A,15
SA Rhodes 1B,Internal A,16
SA Rhodes 1C,Internal A,17
